<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.06	8.120	8.160	8.080	8.140	4681	185035	5
2018.11.07	8.060	8.180	8.040	8.130	9087	316410	5
2018.11.08	8.130	8.240	8.090	8.200	7309	246960	5
2018.11.09	8.240	8.260	8.130	8.130	6800	236480	5
2018.11.12	8.130	8.190	8.110	8.140	3232	92415	5
2018.11.13	8.140	8.150	8.060	8.140	7998	244985	5
2018.11.14	8.120	8.140	7.990	8.040	9914	270050	5
2018.11.16	8.050	8.070	7.890	7.910	9864	258915	5
2018.11.19	7.920	8.000	7.900	7.950	6012	164680	5
2018.11.21	7.970	7.980	7.850	7.900	5461	204615	5
2018.11.22	7.920	7.930	7.830	7.900	5318	180905	5
2018.11.23	7.930	7.930	7.820	7.860	5160	160985	5
2018.11.26	7.830	8.060	7.830	8.030	7437	276830	5
2018.11.27	8.010	8.120	7.940	7.960	10019	301890	5
2018.11.28	7.950	7.980	7.870	7.930	5956	159070	5
2018.11.29	7.910	7.990	7.910	7.950	5760	243885	5
2018.11.30	7.980	7.980	7.910	7.940	3822	161620	5
2018.12.03	7.870	7.940	7.830	7.940	5216	173550	5
2018.12.04	7.940	8.020	7.930	7.990	3943	147230	5
2018.12.05	8.000	8.040	7.960	7.960	3655	86650	5
2018.12.06	8.020	8.060	7.870	7.910	8674	274125	5
2018.12.07	7.810	7.870	7.750	7.820	8458	295840	5
2018.12.10	7.850	7.860	7.780	7.840	5707	153080	5
2018.12.11	7.820	7.830	7.740	7.800	4603	145970	5
2018.12.12	7.780	7.820	7.730	7.730	2910	95585	5
2018.12.13	7.650	7.690	7.570	7.590	11273	423195	5
2018.12.14	7.610	7.610	7.500	7.520	8712	312900	5
2018.12.17	7.530	7.530	7.450	7.450	3176	102780	5
2018.12.18	7.490	7.580	7.480	7.510	7044	250830	5
2018.12.19	7.500	7.510	7.420	7.470	5294	186930	5
2018.12.20	7.450	7.450	7.380	7.390	3454	148255	5
2018.12.21	7.410	7.410	7.330	7.380	3350	135800	5
2018.12.26	7.430	7.450	7.370	7.420	2631	56330	5
2018.12.27	7.400	7.440	7.370	7.400	1885	57750	5
2018.12.28	7.380	7.410	7.360	7.370	1938	90455	5
2019.01.02	7.390	7.410	7.180	7.190	6009	214615	5
2019.01.03	7.200	7.260	7.190	7.240	4554	176515	5
2019.01.04	7.230	7.340	7.230	7.280	7389	244595	5
2019.01.07	7.290	7.400	7.260	7.390	7312	220920	5
2019.01.08	7.390	7.420	7.350	7.360	5474	338345	5
2019.01.09	7.320	7.380	7.310	7.370	7708	377665	5
2019.01.10	7.380	7.500	7.370	7.460	7769	285665	5
2019.01.11	7.460	7.500	7.420	7.440	4986	194925	5
2019.01.14	7.450	7.470	7.350	7.370	4110	154670	5
2019.01.15	7.350	7.450	7.350	7.450	4454	164030	5
2019.01.16	7.430	7.470	7.420	7.440	3250	160440	5
2019.01.17	7.440	7.470	7.360	7.380	5210	247165	5
2019.01.18	7.380	7.390	7.290	7.340	6487	253190	5
2019.01.21	7.340	7.390	7.320	7.350	1913	92500	5
2019.01.22	7.370	7.380	7.210	7.310	7800	438540	5
2019.01.23	7.240	7.300	7.170	7.200	6343	320455	5
2019.01.24	7.210	7.240	7.170	7.210	6040	211730	5
2019.01.28	7.220	7.250	7.190	7.220	2861	107855	5
2019.01.29	7.210	7.210	7.110	7.140	3829	177485	5
2019.01.30	7.110	7.160	7.050	7.080	6875	322630	5
2019.01.31	7.060	7.070	6.970	7.000	9254	412495	5
2019.02.01	7.020	7.040	6.900	6.940	5405	275280	5
2019.02.04	6.960	7.020	6.940	6.980	5701	189620	5
2019.02.05	6.970	7.040	6.970	7.000	3449	178425	5
2019.02.06	7.040	7.070	6.990	7.020	5430	273850	5
2019.02.07	7.140	7.180	7.100	7.150	7918	391535	5
2019.02.08	7.150	7.270	7.100	7.210	10663	479910	5
2019.02.11	7.200	7.300	7.200	7.220	7486	242415	5
2019.02.12	7.210	7.210	7.150	7.170	6646	261450	5
2019.02.13	7.130	7.140	7.030	7.040	10253	483410	5
2019.02.14	7.050	7.080	6.960	6.970	7964	388380	5
2019.02.15	6.980	7.000	6.900	6.960	5194	224125	5
2019.02.18	6.980	7.040	6.970	7.020	3809	141250	5
2019.02.19	7.020	7.030	6.980	7.020	3677	130630	5
2019.02.20	7.020	7.100	6.970	7.090	8537	256475	5
2019.02.21	7.060	7.150	7.050	7.100	8483	364965	5
2019.02.22	7.090	7.090	7.040	7.050	4531	187365	5
2019.02.25	7.020	7.140	7.020	7.120	3056	153965	5
2019.02.26	7.120	7.180	7.080	7.120	5604	261215	5
2019.02.27	7.120	7.140	7.060	7.080	5227	249325	5
2019.02.28	7.080	7.200	7.080	7.150	8036	369125	5
