<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2018.12.18;87320;88070;87145;87385;1114381;3946555;5
2018.12.19;87800;88835;85780;86100;1294060;4669817;5
2018.12.20;86050;87310;85380;86365;1341172;4955590;5
2018.12.21;86375;87265;85755;86000;1311609;4972890;5
2018.12.26;85900;86035;84410;85735;1208554;4348578;5
2018.12.27;85360;86320;85215;86110;1143576;4361242;5
2018.12.28;87070;88670;86820;88205;1015060;3866483;5
2019.01.02;87800;92150;87585;91590;1305951;5225036;5
2019.01.03;91115;92165;90450;91765;1477318;5428639;5
2019.01.04;92215;93335;91355;92440;1578841;5417051;5
2019.01.07;92400;93095;91790;92245;1531993;5458117;5
2019.01.08;92700;92760;91570;92660;1461480;5327069;5
2019.01.09;93090;94190;92835;94155;1398350;4898414;5
2019.01.10;93685;94540;93565;94370;1359187;4911736;5
2019.01.11;94600;94620;93760;94060;1086913;3779894;5
2019.01.14;93590;94945;93545;94820;1115346;4042673;5
2019.01.15;95000;95100;93760;94580;1337319;4884865;5
2019.01.16;94800;94800;94050;94795;1244156;4537736;5
2019.01.17;94410;96095;94265;95770;1252884;4698974;5
2019.01.18;95660;96795;95585;96280;1175686;4546496;5
2019.01.21;96150;96580;95130;96580;935217;3469737;5
2019.01.22;96040;96415;94900;95100;1465944;5351076;5
2019.01.23;95510;96930;95500;96775;1453690;5792214;5
2019.01.24;96705;97935;96610;97935;1244532;4680601;5
2019.01.28;96530;96890;94945;95600;1507121;5468081;5
2019.01.29;95620;97020;95620;95755;1339785;5032128;5
2019.01.30;96540;97420;96010;97150;1332184;4889335;5
2019.01.31;97700;98640;97450;97730;1389286;5108898;5
2019.02.01;97460;98260;97170;98065;1316993;4865419;5
2019.02.04;98465;98780;96945;98465;1536692;5733982;5
2019.02.05;98525;98730;97715;98445;1531409;5523659;5
2019.02.06;98030;98085;94480;94700;1737839;6382476;5
2019.02.07;94800;95725;93565;94435;1963976;7094199;5
2019.02.08;94150;95620;93440;95070;1997308;7305378;5
2019.02.11;95800;96110;93745;94365;1823910;6477471;5
2019.02.12;94955;96650;94955;95955;1686588;6134950;5
