<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.08.17	77035	77035	76210	76500	13620	85920	5
2018.08.20	76860	77150	76130	77010	13191	82115	5
2018.08.21	77250	77290	75330	75330	15876	99440	5
2018.08.22	75670	77700	74850	77700	17391	115110	5
2018.08.23	77335	77810	75955	76290	16394	102625	5
2018.08.24	76850	77255	76195	77000	9662	60540	5
2018.08.27	77305	78585	77050	78130	9792	62045	5
2018.08.28	78295	78565	77585	78400	12706	77400	5
2018.08.29	77940	79365	77815	79220	12656	81235	5
2018.08.30	78700	78805	76610	76800	16576	103610	5
2018.08.31	76820	77655	76350	77240	14115	86135	5
2018.09.03	77105	77145	76065	76610	7754	51100	5
2018.09.04	76200	76485	74925	74960	14196	86240	5
2018.09.05	74650	75795	74435	75240	12197	76975	5
2018.09.06	75270	78500	75270	77400	16534	106295	5
2018.09.10	78000	78080	76425	76900	15408	96720	5
2018.09.11	75700	75855	74590	75250	16494	106120	5
2018.09.12	75800	76025	74775	75230	14690	97330	5
2018.09.13	75890	76005	74765	74770	13756	82050	5
2018.09.14	75080	76040	74700	75800	13479	88095	5
2018.09.17	75550	77325	75115	77100	17070	108030	5
2018.09.18	77390	78785	76810	78070	17675	109215	5
2018.09.19	77550	79305	77455	78270	17471	112195	5
2018.09.20	78300	79190	78015	78500	12665	79065	5
2018.09.21	78730	80355	78550	79340	16269	103030	5
2018.09.24	79000	79640	77960	78235	14294	91990	5
2018.09.25	77025	78995	76915	78970	15780	98005	5
2018.09.26	78760	79755	78490	78720	18866	116405	5
2018.09.27	78630	80370	78605	79905	15261	92950	5
2018.09.28	79335	80085	78930	79340	12621	78545	5
2018.10.01	79550	79725	78215	78990	11554	72805	5
2018.10.02	80210	82000	80040	81930	24396	149825	5
2018.10.03	84200	85545	82955	83755	30392	201070	5
2018.10.04	82700	83645	82020	83150	20279	122700	5
2018.10.05	84650	85055	82140	82800	22304	148605	5
2018.10.08	86570	87985	85335	86310	31536	207240	5
2018.10.09	85650	86775	85490	85925	20840	128855	5
2018.10.10	85000	85520	83550	83550	21571	131840	5
2018.10.11	84000	84970	82610	83500	24652	159190	5
2018.10.15	84260	84540	83115	83115	16811	101830	5
2018.10.16	83850	86000	83850	85890	17112	116115	5
2018.10.18	86100	86375	84295	84465	14859	89735	5
2018.10.19	85400	85670	84315	85080	17059	101445	5
2018.10.22	85990	86520	85495	86140	13205	82260	5
2018.10.23	85100	86320	84610	86300	17664	113275	5
2018.10.24	86350	86475	83495	83705	22580	143940	5
2018.10.25	84320	85545	83880	84255	20164	126290	5
2018.10.26	83610	86800	83585	86685	28600	186020	5
2018.10.29	89400	90375	83300	84050	36884	245100	5
2018.10.30	84735	87825	84455	87580	26590	171295	5
2018.10.31	88500	88970	86780	87700	19251	130800	5
2018.11.01	88655	89670	87670	88465	17810	112725	5
2018.11.05	88915	90180	88875	89995	12847	83955	5
2018.11.06	89105	89925	88605	89260	16259	104245	5
2018.11.07	89900	90350	88000	88400	17482	115585	5
2018.11.08	88470	89180	86010	86010	19777	129615	5
2018.11.09	85625	86735	84420	86250	23118	149055	5
2018.11.12	86255	86715	85370	86010	14341	88440	5
2018.11.13	86390	86435	84425	85370	25407	165455	5
2018.11.14	85485	86280	84600	86200	21094	134865	5
2018.11.16	87000	89015	86470	88830	19213	123510	5
2018.11.19	88650	88650	87315	88235	13091	83625	5
2018.11.21	86900	87720	86575	87565	15236	102865	5
2018.11.22	87500	87985	87205	87705	6693	42900	5
2018.11.23	87560	87560	86075	86335	12438	77885	5
2018.11.26	87200	87445	85080	85620	19144	119865	5
2018.11.27	85850	88290	85485	87950	20206	130090	5
2018.11.28	87790	89720	87355	89250	19829	133260	5
2018.11.29	88980	90140	88440	89700	17946	126545	5
2018.11.30	89300	90470	89165	89600	17545	115140	5
2018.12.03	91245	91830	89515	89750	18818	122900	5
2018.12.04	89750	90570	88095	88605	23090	143550	5
2018.12.05	89000	89275	88525	89100	10235	65550	5
2018.12.06	87550	88980	87045	88965	21156	136410	5
2018.12.07	89250	90110	87905	88000	19086	126715	5
2018.12.10	87670	88355	85870	85875	19891	129425	5
2018.12.11	86500	87595	85500	86605	20973	129405	5
2018.12.12	87850	88830	87525	87915	22904	143520	5
2018.12.13	88010	88720	87650	88560	13556	85685	5
2018.12.14	87800	89045	87755	88115	12902	79560	5
2018.12.17	88490	88540	87005	87150	13621	81445	5
2018.12.18	87500	88060	87140	87400	13799	86985	5
2018.12.19	87970	88830	85800	86100	19445	125040	5
2018.12.20	86200	87310	85380	86300	19051	121505	5
2018.12.21	86300	87260	85750	86000	17734	114880	5
2018.12.26	85705	86025	84405	85760	16427	109515	5
2018.12.27	85510	86305	85215	86120	13593	91960	5
2018.12.28	87100	88660	86830	88185	15079	101125	5
2019.01.02	87890	92150	87605	91590	26792	165815	5
2019.01.03	91005	92165	90455	91780	24354	151345	5
2019.01.04	92140	93330	91350	92470	23382	146175	5
2019.01.07	92195	93095	91800	92250	18807	124515	5
2019.01.08	92630	92760	91580	92650	17091	107430	5
2019.01.09	93030	94175	92830	94125	18391	121605	5
2019.01.10	93550	94535	93520	94335	17106	111560	5
2019.01.11	94600	94620	93765	94050	12038	72535	5
2019.01.14	93650	94950	93540	94800	17713	127780	5
2019.01.15	94850	95095	93775	94555	23051	149985	5
2019.01.16	94800	94800	94050	94800	17320	109130	5
2019.01.17	94445	96085	94260	95790	19395	121190	5
2019.01.18	95660	96805	95585	96290	18288	132825	5
2019.01.21	96150	96555	95145	96555	11991	80365	5
2019.01.22	96000	96415	94900	95100	20023	133855	5
2019.01.23	95600	96915	95575	96765	22037	141300	5
2019.01.24	96765	97930	96615	97930	16495	106630	5
2019.01.28	96500	96880	94960	95605	21182	133500	5
2019.01.29	95825	97020	95715	95715	15041	95855	5
2019.01.30	96450	97420	96015	97150	18505	119665	5
2019.01.31	97625	98640	97445	97700	20075	136575	5
2019.02.01	97510	98260	97170	98050	17747	113435	5
2019.02.04	98450	98775	96950	98355	20836	133195	5
2019.02.05	98520	98725	97710	98460	20030	133470	5
2019.02.06	98000	98080	94500	94710	29025	195510	5
2019.02.07	94900	95730	93570	94445	34433	226720	5
2019.02.08	94250	95620	93445	95075	26596	172720	5
2019.02.11	95800	96040	93750	94300	21643	139125	5
2019.02.12	94980	96630	94955	95965	20163	134155	5
2019.02.13	97345	97755	96280	96920	22979	150640	5
2019.02.14	97095	99120	95740	98995	26658	175335	5
2019.02.15	98610	99215	97930	98230	19878	120160	5
2019.02.18	97850	98090	97085	97390	11988	75410	5
2019.02.19	97300	99160	97030	98230	20980	138330	5
2019.02.20	98405	99450	97195	97560	27673	178065	5
2019.02.21	97840	98200	96515	97800	20285	131460	5
2019.02.22	98200	99030	97750	98620	14357	96185	5
2019.02.25	99200	99265	97830	98000	14931	93795	5
2019.02.26	97795	98715	97570	98200	13155	82520	5
2019.02.27	98095	98515	97600	97960	16221	105965	5
2019.02.28	97800	98225	95950	95950	20414	129825	5
2019.03.01	96550	96780	94960	95145	17664	113745	5
2019.03.06	94900	95485	94510	94660	10235	62965	5
2019.03.07	94650	95220	94265	95220	19686	118395	5
2019.03.08	94640	96090	93800	96000	18366	117945	5
2019.03.11	96500	98735	96150	98600	19335	128905	5
2019.03.12	98200	98950	97820	98405	19376	123220	5
